comment_id,text,author_display_name,author_channel_url,published_at,updated_at,parent_id
UgyVYmHstcv0ftjKtHR4AaABAg,2024 anyone,@prakharshrivastavaindia6886,http://www.youtube.com/@prakharshrivastavaindia6886,2024-08-23T13:26:23Z,2024-08-23T13:26:23Z,
UgzRgYBSEYi4ckWm_Zt4AaABAg,raftaar made his carrier,@sauravyadav9418,http://www.youtube.com/@sauravyadav9418,2024-08-23T08:20:33Z,2024-08-23T08:20:33Z,
UgzRgYBSEYi4ckWm_Zt4AaABAg.A7TrRaMCvXsA7mF3d87Gce,but yah bunty yah accept nahin karega,@GOVT.P.S.FIROJABAD,http://www.youtube.com/@GOVT.P.S.FIROJABAD,2024-08-30T21:01:18Z,2024-08-30T21:01:18Z,UgzRgYBSEYi4ckWm_Zt4AaABAg
UgyHpd1tXDzYG9WiPbJ4AaABAg,,@aktkgamers9960,http://www.youtube.com/@aktkgamers9960,2024-08-23T01:59:44Z,2024-08-23T01:59:44Z,
UgxHAOh7OwfXT1_YHwV4AaABAg,is ko sun ke king ke liye bura lag rha he brrip king,@comment.padh.bhai.,http://www.youtube.com/@comment.padh.bhai.,2024-08-22T20:24:11Z,2024-08-22T20:24:11Z,
UgxHAOh7OwfXT1_YHwV4AaABAg.A7S_SmpuAftA7mF1Qeskay,no,@GOVT.P.S.FIROJABAD,http://www.youtube.com/@GOVT.P.S.FIROJABAD,2024-08-30T21:01:00Z,2024-08-30T21:01:00Z,UgxHAOh7OwfXT1_YHwV4AaABAg
Ugzon8fEJ1u2ask4PUJ4AaABAg,,@sourabh_ti,http://www.youtube.com/@sourabh_ti,2024-08-22T15:38:40Z,2024-08-22T15:38:40Z,
UgzmRM73JJKn2rYZ8954AaABAg,2024 attendance here,@shubhamrawat1874,http://www.youtube.com/@shubhamrawat1874,2024-08-22T13:14:56Z,2024-08-22T13:14:56Z,
UgxAUYpuoQzGOhMS5L14AaABAg,"ostat, firche aa geya...",@anxeshan1596,http://www.youtube.com/@anxeshan1596,2024-08-22T12:15:47Z,2024-08-22T12:15:47Z,
UgxWGViqJ7jymSv2TeZ4AaABAg,sachaa musalman nahi sachaa insaan huun this line alone make emiway won the beef,@sudipsunar685,http://www.youtube.com/@sudipsunar685,2024-08-22T06:04:25Z,2024-08-22T06:04:25Z,
UgynHYoKKP-7Z2wr94F4AaABAg,mr. chapri,@siddhantbahuguna4461,http://www.youtube.com/@siddhantbahuguna4461,2024-08-21T19:44:42Z,2024-08-21T19:44:42Z,
Ugzh-vOUJWrb705ytYB4AaABAg,raftaar marwake maanega emmiway gt;raftaar asli e lafda toh yha hai,@pardeepsingh-pg6ez,http://www.youtube.com/@pardeepsingh-pg6ez,2024-08-21T18:13:33Z,2024-08-21T18:13:33Z,
UgweEGkWF94WcKdivCp4AaABAg,nich gaya to mera 2018 wala comment mil gaya,@local7182,http://www.youtube.com/@local7182,2024-08-21T16:04:13Z,2024-08-21T16:04:13Z,
Ugy0-yqfWWxyLAmJOpt4AaABAg,bhot hard,@anythingediting,http://www.youtube.com/@anythingediting,2024-08-21T12:52:25Z,2024-08-21T12:52:25Z,
Ugw8GvX5GaWEl-2KxWh4AaABAg,me who watch accidentally this diss battle but every time i see this nostalgia hits hardd,@as__uv3163,http://www.youtube.com/@as__uv3163,2024-08-21T08:27:28Z,2024-08-21T08:27:28Z,
UgwlV_2Bf_ugvzEleBl4AaABAg,anyone in 2024.?,@iMuhammadHadi,http://www.youtube.com/@iMuhammadHadi,2024-08-20T21:17:31Z,2024-08-20T21:17:31Z,
Ugxivq7-u9Ft5bJeBy54AaABAg,sadka remix chaiye,@mr.animee4,http://www.youtube.com/@mr.animee4,2024-08-20T18:50:30Z,2024-08-20T18:50:30Z,
UgyPMq59XoF7jpQpEz14AaABAg,2024 still listening always,@B.K.P_NePal,http://www.youtube.com/@B.K.P_NePal,2024-08-20T16:43:45Z,2024-08-20T16:43:45Z,
UgxxA6Qtn42EuT9g_m94AaABAg,kya huaa krsna ko nhi hara paya,@Dragonmemes-s5j,http://www.youtube.com/@Dragonmemes-s5j,2024-08-20T11:57:21Z,2024-08-20T11:57:21Z,
UgyNFo6-xoPe925v3-N4AaABAg,,@FirozTurk-l6l,http://www.youtube.com/@FirozTurk-l6l,2024-08-20T11:11:03Z,2024-08-20T11:11:03Z,
UgwKjv0_V3Pb34BXo5l4AaABAg,good,@FirozTurk-l6l,http://www.youtube.com/@FirozTurk-l6l,2024-08-20T11:10:49Z,2024-08-20T11:10:49Z,
Ugx_9yAsFrwjpqn6-h54AaABAg,raftaar bol rha tha ek do peti nahi khoke khata hu,@Jahidblogs116,http://www.youtube.com/@Jahidblogs116,2024-08-20T10:26:47Z,2024-08-20T10:26:47Z,
Ugw_8obH4s7FRPS2mh14AaABAg,"a href"" brafter these words..brkrna diss emiway amp; shuttered him",@pankajmeena5064,http://www.youtube.com/@pankajmeena5064,2024-08-20T07:22:41Z,2024-08-20T07:22:41Z,
Ugwi8CpeX_KS851Q_wd4AaABAg,no one compitate emiway,@Ajaykumar-ij8vz,http://www.youtube.com/@Ajaykumar-ij8vz,2024-08-19T12:29:09Z,2024-08-19T12:29:09Z,
UgwiaKD4t2pCHk0X6AZ4AaABAg,,@MirzaSaleembaig-e8m,http://www.youtube.com/@MirzaSaleembaig-e8m,2024-08-19T11:27:12Z,2024-08-19T11:27:12Z,
UgxjlO4uiyGtlCtnxvp4AaABAg,2024 welcome guyz,@Anime_hub_officials01,http://www.youtube.com/@Anime_hub_officials01,2024-08-19T07:30:10Z,2024-08-19T07:30:10Z,
UgzVoMtUwStuFMCUwtl4AaABAg,2.34,@ultrakillergaming3920,http://www.youtube.com/@ultrakillergaming3920,2024-08-18T21:04:54Z,2024-08-18T21:04:54Z,
UgzmhXivRxSxhlWqrhZ4AaABAg,2024 me kon kon aya 5 saal piche jane ko,@mcpeelu8668,http://www.youtube.com/@mcpeelu8668,2024-08-18T16:31:03Z,2024-08-18T16:31:03Z,
UgyftnvmgUV-fD8Tp614AaABAg,"a href""",@rohanborsa4626,http://www.youtube.com/@rohanborsa4626,2024-08-18T16:00:31Z,2024-08-18T16:00:31Z,
Ugy8zJ7_lcKnrpmqpOl4AaABAg,anyone in 2024 ??,@ChandrakanthJoteppa,http://www.youtube.com/@ChandrakanthJoteppa,2024-08-18T10:11:57Z,2024-08-18T10:11:57Z,
UgwWom5wl_H-PJeFWJ54AaABAg,3 din me hee diss kar diya ye hai bantai,@DesiMusicvibe98,http://www.youtube.com/@DesiMusicvibe98,2024-08-18T09:11:11Z,2024-08-18T09:11:11Z,
UgxBWap878DuajM3RQR4AaABAg,,@SattuShoter,http://www.youtube.com/@SattuShoter,2024-08-18T04:19:00Z,2024-08-18T04:19:00Z,
UgzLciWys-DEszx3UkR4AaABAg,129.m,@rajaansari7631,http://www.youtube.com/@rajaansari7631,2024-08-17T20:17:58Z,2024-08-17T20:17:58Z,
Ugx6ewJwGUQ5fqyyXbx4AaABAg,sheikh chilli mein 14c and 25lk like iss song mein 12c and 27lk likes bantai the boss badshah kaa chush jake raftaar hahhaahahua jake bistar pee graftaar,@albertine11,http://www.youtube.com/@albertine11,2024-08-17T11:35:45Z,2024-08-17T11:35:45Z,
UgwB_nLHRj2umRzY3md4AaABAg,,@VivekTiwari-p8s,http://www.youtube.com/@VivekTiwari-p8s,2024-08-16T19:16:35Z,2024-08-16T19:16:35Z,
UgwVMyGU1w3row_JBrB4AaABAg,aug 2024 wale ajao bhai best diss in indian hip hop,@Azzzad,http://www.youtube.com/@Azzzad,2024-08-16T12:34:26Z,2024-08-16T12:34:26Z,
UgyL0-wzoirJQLxfHft4AaABAg,also on top,@CR_cobra_666,http://www.youtube.com/@CR_cobra_666,2024-08-16T12:32:09Z,2024-08-16T12:32:09Z,
UgxY7WriX36oSYlCrL14AaABAg,nice,@unknownaappi,http://www.youtube.com/@unknownaappi,2024-08-16T12:07:44Z,2024-08-16T12:07:44Z,
UgwLNXyh4MCULlCp-a14AaABAg,,@pvpviper3497,http://www.youtube.com/@pvpviper3497,2024-08-16T07:03:20Z,2024-08-16T07:03:20Z,
UgwLWHVy2OO26eAah7l4AaABAg,"a href"" o mere laaal",@iambaba_09,http://www.youtube.com/@iambaba_09,2024-08-16T06:58:41Z,2024-08-16T06:58:41Z,
UgygJV8ktP9pgudEPvV4AaABAg,2024 me kon dekhra hai,@roanykumar7588,http://www.youtube.com/@roanykumar7588,2024-08-15T17:41:28Z,2024-08-15T17:41:28Z,
Ugyt6lZCHRkob854Ibp4AaABAg,jitna suna utna kam lagta h yarr,@NirajanVishwakarma-oe7iw,http://www.youtube.com/@NirajanVishwakarma-oe7iw,2024-08-15T16:04:07Z,2024-08-15T16:04:07Z,
UgzrukZ6mQZeiVbgvu14AaABAg,2024 kon hai kya company,@YashwantHarijan-no9mt,http://www.youtube.com/@YashwantHarijan-no9mt,2024-08-15T07:54:38Z,2024-08-15T07:54:38Z,
UgyJjNgjZn2fpZ-lTj94AaABAg,future hi re babwaa 5 sal se sun raha hu wahi vibe,@Arfaworld2018,http://www.youtube.com/@Arfaworld2018,2024-08-15T07:01:06Z,2024-08-15T07:01:06Z,
UgxCraja4FSweHzaHV54AaABAg,2024 me kon dekh rha hai,@IGVivekTheLegend,http://www.youtube.com/@IGVivekTheLegend,2024-08-15T00:53:34Z,2024-08-15T00:53:34Z,
UgxDV0o4ymlLSyYPlcN4AaABAg,bhai mera naam aap ne gaane me ek baar lena bhai sushhir please,@VaishnaviKampelwar-tf2jb,http://www.youtube.com/@VaishnaviKampelwar-tf2jb,2024-08-14T23:54:56Z,2024-08-14T23:54:56Z,
Ugy8aHAzXyhcESku8cZ4AaABAg,bakki sab hai chillr aap hai killar,@VaishnaviKampelwar-tf2jb,http://www.youtube.com/@VaishnaviKampelwar-tf2jb,2024-08-14T23:53:14Z,2024-08-14T23:53:14Z,
UgwveQBkz5Z3L7su32F4AaABAg,amiwy aap se milna hai bhai ka bohot bada fan hu bhai,@VaishnaviKampelwar-tf2jb,http://www.youtube.com/@VaishnaviKampelwar-tf2jb,2024-08-14T23:52:11Z,2024-08-14T23:52:11Z,
UgyAXrWoR3R-IE422XF4AaABAg,asli cod toh yeah krenge,@KTkashor,http://www.youtube.com/@KTkashor,2024-08-14T20:46:17Z,2024-08-14T20:46:17Z,
UgzuyqzsLbpurZsI9jl4AaABAg,bantai se mat lago lala,@DesiMusicvibe98,http://www.youtube.com/@DesiMusicvibe98,2024-08-14T07:26:09Z,2024-08-14T07:26:09Z,
UgyRrAzmw2awueyoUlJ4AaABAg,bhai tu phir se aagaya ?,@MADLIPZ_LOVER,http://www.youtube.com/@MADLIPZ_LOVER,2024-08-14T06:13:05Z,2024-08-14T06:13:05Z,
Ugwn50FpNcFO1tNnJvt4AaABAg,mood swings?,@nishchaytiwari7066,http://www.youtube.com/@nishchaytiwari7066,2024-08-14T05:27:02Z,2024-08-14T05:27:02Z,
UgxGHsJrXb2UaO0rxwR4AaABAg,2024 kon sun raha hai,@Akredzone-h3m,http://www.youtube.com/@Akredzone-h3m,2024-08-14T05:08:46Z,2024-08-14T05:08:46Z,
UgyhgYDOsXKeDa17Vj14AaABAg,any one in 2024,@Ninja_year,http://www.youtube.com/@Ninja_year,2024-08-13T18:55:20Z,2024-08-13T18:55:20Z,
Ugx-JodwFU74Y_f5ENd4AaABAg,bhai yahi emiway chahiye 2024 se,@djairdrop2647,http://www.youtube.com/@djairdrop2647,2024-08-13T16:40:50Z,2024-08-13T16:40:50Z,
UgxYTh6cQ74Hg6kT_c94AaABAg,hatt be jhhat ke laude madrchod....are lnd ke tope thoda khud ko dekh to le..sale hai kya tu laude..,@anuragdhiman1477,http://www.youtube.com/@anuragdhiman1477,2024-08-13T16:11:09Z,2024-08-13T16:11:09Z,
UgxGcqPy8_wPkU1iOsl4AaABAg,fire hai,@k-sk2king,http://www.youtube.com/@k-sk2king,2024-08-13T13:42:58Z,2024-08-13T13:42:58Z,
UgzIfDhN-ouFGdZBSwZ4AaABAg,how watching 2024,@sam__.x.__4253,http://www.youtube.com/@sam__.x.__4253,2024-08-13T12:46:12Z,2024-08-13T12:46:12Z,
UgzsFQs_GageGvBvH5R4AaABAg,ak47 firing rapping ke mamle me pagal sa rapper hu,@sumitnaskar1109,http://www.youtube.com/@sumitnaskar1109,2024-08-13T10:07:54Z,2024-08-13T10:09:08Z,
UgxaefWbRmVuz_LbOKN4AaABAg,2025,@sahani9653,http://www.youtube.com/@sahani9653,2024-08-12T18:38:44Z,2024-08-12T18:38:44Z,
UgxMNHynl7yqP58n7wF4AaABAg,killing lyrics.,@Blooddiamond-v8o,http://www.youtube.com/@Blooddiamond-v8o,2024-08-12T17:29:09Z,2024-08-12T17:29:09Z,
UgwvMuWbHxM384oVQPZ4AaABAg,bhai,@Vasamuddin786,http://www.youtube.com/@Vasamuddin786,2024-08-12T17:13:19Z,2024-08-12T17:13:19Z,
Ugx9P0kIdAaW1V0AZ254AaABAg,ye diss hain ??? point kidhar hain,@the_unnamed_venom,http://www.youtube.com/@the_unnamed_venom,2024-08-12T16:57:32Z,2024-08-12T16:57:32Z,
Ugx9P0kIdAaW1V0AZ254AaABAg.A72SrX3rQ79A79DE3suJgY,baccho ke liye nahi hai ye song tu yaha kya kar raha ?,@Viratkafannnnn12345,http://www.youtube.com/@Viratkafannnnn12345,2024-08-15T07:55:38Z,2024-08-15T07:55:38Z,Ugx9P0kIdAaW1V0AZ254AaABAg
UgyDa8rBoiuUSYWhJfV4AaABAg,king funeral seen start,@sandeepphy,http://www.youtube.com/@sandeepphy,2024-08-12T15:10:05Z,2024-08-12T15:10:05Z,
Ugwy3M5K4icC99b5uq54AaABAg,"a href"" khana khilaya na paisa le brstudio kiraya bharaya tha na paise le brbrpaise le wali mast line hai",@Dark_Side_FF,http://www.youtube.com/@Dark_Side_FF,2024-08-12T14:53:27Z,2024-08-12T14:54:09Z,
Ugy26dVFsdY6zDber614AaABAg,2025,@janbaloch4581,http://www.youtube.com/@janbaloch4581,2024-08-12T11:28:44Z,2024-08-12T11:28:44Z,
UgxZhoUfT4Ag8h3I4H14AaABAg,after 5 years. but still give goosebumps brmalum hai nah...,@ahmedRabby386,http://www.youtube.com/@ahmedRabby386,2024-08-12T11:27:16Z,2024-08-12T11:27:16Z,
UgydNMqSTUlo3F2rm5R4AaABAg,abhi kon sun raha hai 2024 mein?,@Lalavolgger,http://www.youtube.com/@Lalavolgger,2024-08-12T05:40:20Z,2024-08-12T05:40:20Z,
UgydNMqSTUlo3F2rm5R4AaABAg.A71FMW3tal7A71axt51xsm,tera baap me,@photo-np3sy,http://www.youtube.com/@photo-np3sy,2024-08-12T08:57:48Z,2024-08-12T08:57:48Z,UgydNMqSTUlo3F2rm5R4AaABAg
Ugx9eSrvcizy16sUc614AaABAg,"haqseee a href"" ki public",@King_zeeshu786,http://www.youtube.com/@King_zeeshu786,2024-08-12T03:01:49Z,2024-08-12T03:01:49Z,
UgwPxHxoZ9AwUUWgy6B4AaABAg,..,@yogeshyenpure3743,http://www.youtube.com/@yogeshyenpure3743,2024-08-11T17:21:53Z,2024-08-11T17:21:53Z,
UgyOcuTkfzNl4bubhrR4AaABAg,yah diss sabse alag hai. kabhi bhi suno maja hi aayega..,@sajidansari480,http://www.youtube.com/@sajidansari480,2024-08-11T15:23:09Z,2024-08-11T15:23:09Z,
UgxTrxk4rTGH6KM_DvR4AaABAg,2020 mein aagya,@sahilKhan-u5p7x,http://www.youtube.com/@sahilKhan-u5p7x,2024-08-11T12:17:54Z,2024-08-11T12:17:54Z,
UgxKjzBtUbXwF6f13nl4AaABAg,conspiracy this rap battle was for promotion of gully boy movie,@utkarshverma1798,http://www.youtube.com/@utkarshverma1798,2024-08-11T08:44:44Z,2024-08-11T08:44:44Z,
Ugw2-ml2NBjqZx7VlHN4AaABAg,2024??,@juber__yt,http://www.youtube.com/@juber__yt,2024-08-11T08:03:54Z,2024-08-11T08:03:54Z,
UgzwIlbt8Pme6NyYk_F4AaABAg,pirse ake me tak tak karega nice one,@Namiasboy,http://www.youtube.com/@Namiasboy,2024-08-11T06:59:35Z,2024-08-11T06:59:35Z,
UgzDtAZiy60GuJWcJnJ4AaABAg,anyone hear.from2024,@AzizShaikh-l6y,http://www.youtube.com/@AzizShaikh-l6y,2024-08-10T19:01:39Z,2024-08-10T19:01:39Z,
Ugy5j5ZVa_CsZVA8_ZJ4AaABAg,a rha hai a rha dusra diss a rha 12 bje ...stan aur king pe,@RajkumarPandey-b8z,http://www.youtube.com/@RajkumarPandey-b8z,2024-08-10T18:25:40Z,2024-08-10T18:25:40Z,
UgwAPWi2PKlMc3bBEe94AaABAg,king k liye post ki usme sunke phir se sun n aa gya,@kathan7664,http://www.youtube.com/@kathan7664,2024-08-10T15:23:11Z,2024-08-10T15:23:11Z,
UgwAPWi2PKlMc3bBEe94AaABAg.A6y8TgncajYA6ygzHN7l10,main,@yutrtretydyt7836,http://www.youtube.com/@yutrtretydyt7836,2024-08-10T20:33:28Z,2024-08-10T20:33:28Z,UgwAPWi2PKlMc3bBEe94AaABAg
UgwAPWi2PKlMc3bBEe94AaABAg.A6y8TgncajYA77q6WFKaVE,me,@BishalMagar-t9s,http://www.youtube.com/@BishalMagar-t9s,2024-08-14T19:05:38Z,2024-08-14T19:05:38Z,UgwAPWi2PKlMc3bBEe94AaABAg
UgwAPWi2PKlMc3bBEe94AaABAg.A6y8TgncajYA7HMASgLGf4,main to aata hee rehta hoon,@JugantarBorthakur,http://www.youtube.com/@JugantarBorthakur,2024-08-18T11:47:42Z,2024-08-18T11:47:42Z,UgwAPWi2PKlMc3bBEe94AaABAg
UgwAPWi2PKlMc3bBEe94AaABAg.A6y8TgncajYA7e-1rKQLLo,main bhi,@ZYRUS999,http://www.youtube.com/@ZYRUS999,2024-08-27T16:07:19Z,2024-08-27T16:07:19Z,UgwAPWi2PKlMc3bBEe94AaABAg
UgwAPWi2PKlMc3bBEe94AaABAg.A6y8TgncajYA7h4qkzyVFt,we are same bro,@ishowfutures,http://www.youtube.com/@ishowfutures,2024-08-28T20:55:50Z,2024-08-28T20:55:50Z,UgwAPWi2PKlMc3bBEe94AaABAg
UgwAPWi2PKlMc3bBEe94AaABAg.A6y8TgncajYA7hD7iOW6Wx,same bhai,@gautamkapoor3280,http://www.youtube.com/@gautamkapoor3280,2024-08-28T22:08:11Z,2024-08-28T22:08:11Z,UgwAPWi2PKlMc3bBEe94AaABAg
UgwAPWi2PKlMc3bBEe94AaABAg.A6y8TgncajYA7jPHpKct0_,same bhai sare purane diss sun liye,@nitinraghuwanshi,http://www.youtube.com/@nitinraghuwanshi,2024-08-29T18:32:54Z,2024-08-29T18:32:54Z,UgwAPWi2PKlMc3bBEe94AaABAg
Ugw8mK6qGPIIefgvXVR4AaABAg,advance rip babu jadu,@ummu_afshan,http://www.youtube.com/@ummu_afshan,2024-08-10T14:47:05Z,2024-08-10T14:47:05Z,
UgwrQrPwuoEKpJ20A6V4AaABAg,bantai ka post dekh ke kon kon aaya hai sune,@Peaceo34,http://www.youtube.com/@Peaceo34,2024-08-10T14:43:36Z,2024-08-10T14:43:36Z,
UgwrQrPwuoEKpJ20A6V4AaABAg.A6y3wo4wijbA6yCTqtS1nr,,@Itz_navin_25,http://www.youtube.com/@Itz_navin_25,2024-08-10T15:58:09Z,2024-08-10T15:58:09Z,UgwrQrPwuoEKpJ20A6V4AaABAg
UgwrQrPwuoEKpJ20A6V4AaABAg.A6y3wo4wijbA74cQ6zuIJ-,,@AzariyahWaz34,http://www.youtube.com/@AzariyahWaz34,2024-08-13T13:08:16Z,2024-08-13T13:08:16Z,UgwrQrPwuoEKpJ20A6V4AaABAg
UgwrQrPwuoEKpJ20A6V4AaABAg.A6y3wo4wijbA7C4o3XVgcq,ye bro i came .... bkp,@StreetBoddy,http://www.youtube.com/@StreetBoddy,2024-08-16T10:39:45Z,2024-08-16T10:39:45Z,UgwrQrPwuoEKpJ20A6V4AaABAg
